DAY,TIME,INFLOW (m3/s),OUTFLOW (m3/s),
01/29/18,22:00,   270.20000000,   219.90192794,
01/29/18,23:00,   272.24000000,   237.77346397,
01/30/18,00:00,   191.18000000,   247.70373198,
01/30/18,01:00,     1.02000000,   213.15211599,
01/30/18,02:00,     0.44000000,   106.57605800,
01/30/18,03:00,     1.17000000,    53.28802900,
01/30/18,04:00,     0.00000000,    26.64401450,
01/30/18,05:00,     2.92000000,    13.32200725,
01/30/18,06:00,     4.23000000,     6.66100362,
01/30/18,07:00,   198.19000000,     3.33050181,
01/30/18,08:00,   364.70000000,    94.38287591,
01/30/18,09:00,   541.28000000,   221.08268795,
01/30/18,10:00,   271.22000000,   370.51534398,
01/30/18,11:00,   261.88000000,   313.57742199,
01/30/18,12:00,   266.11000000,   280.55521099,
01/30/18,13:00,   258.81000000,   266.10623050,
01/30/18,14:00,   256.61000000,   255.32299025,
01/30/18,15:00,   290.65000000,   248.85887012,
01/30/18,16:00,   555.29000000,   262.22131006,
01/30/18,17:00,   561.28000000,   397.91453003,
01/30/18,18:00,   551.06000000,   468.68126502,
01/30/18,19:00,   275.31000000,   499.08238251,
01/30/18,20:00,   279.41000000,   379.85481625,
01/30/18,21:00,   272.68000000,   322.23978313,
01/30/18,22:00,   254.86000000,   290.15139156,
01/30/18,23:00,   249.90000000,   265.41994578,
01/31/18,00:00,     3.65000000,   250.63622289,
01/31/18,01:00,    -1.00000000,    -1.00000000,
01/31/18,02:00,    -1.00000000,    -1.00000000,
01/31/18,03:00,    -1.00000000,    -1.00000000,
01/31/18,04:00,    -1.00000000,    -1.00000000,
01/31/18,05:00,    -1.00000000,    -1.00000000,
01/31/18,06:00,    -1.00000000,    -1.00000000,
01/31/18,07:00,    -1.00000000,    -1.00000000,
01/31/18,08:00,    -1.00000000,    -1.00000000,
01/31/18,09:00,    -1.00000000,    -1.00000000,
01/31/18,10:00,    -1.00000000,    -1.00000000,
01/31/18,11:00,    -1.00000000,    -1.00000000,
01/31/18,12:00,    -1.00000000,    -1.00000000,
01/31/18,13:00,    -1.00000000,    -1.00000000,
01/31/18,14:00,    -1.00000000,    -1.00000000,
01/31/18,15:00,    -1.00000000,    -1.00000000,
01/31/18,16:00,    -1.00000000,    -1.00000000,
01/31/18,17:00,    -1.00000000,    -1.00000000,
01/31/18,18:00,    -1.00000000,    -1.00000000,
01/31/18,19:00,    -1.00000000,    -1.00000000,
01/31/18,20:00,    -1.00000000,    -1.00000000,
01/31/18,21:00,    -1.00000000,    -1.00000000,
01/31/18,22:00,    -1.00000000,    -1.00000000,
01/31/18,23:00,    -1.00000000,    -1.00000000,
02/01/18,00:00,    -1.00000000,    -1.00000000,
02/01/18,01:00,    -1.00000000,    -1.00000000,
02/01/18,02:00,    -1.00000000,    -1.00000000,
02/01/18,03:00,    -1.00000000,    -1.00000000,
02/01/18,04:00,    -1.00000000,    -1.00000000,
02/01/18,05:00,    -1.00000000,    -1.00000000,
02/01/18,06:00,    -1.00000000,    -1.00000000,
02/01/18,07:00,    -1.00000000,    -1.00000000,
02/01/18,08:00,    -1.00000000,    -1.00000000,
02/01/18,09:00,    -1.00000000,    -1.00000000,
02/01/18,10:00,    -1.00000000,    -1.00000000,
02/01/18,11:00,    -1.00000000,    -1.00000000,
02/01/18,12:00,   270.92000000,   270.92000000,
02/01/18,13:00,   200.53000000,   263.63350000,
02/01/18,14:00,   265.82000000,   225.67512500,
02/01/18,15:00,   257.05000000,   238.52481250,
02/01/18,16:00,   252.23000000,   240.67428125,
02/01/18,17:00,   208.27000000,   239.39926562,
02/01/18,18:00,   213.97000000,   217.33125781,
02/01/18,19:00,   212.22000000,   209.07600391,
02/01/18,20:00,   200.09000000,   204.09525195,
02/01/18,21:00,   268.74000000,   195.69150098,
02/01/18,22:00,   260.41000000,   224.95650049,
02/01/18,23:00,   263.63000000,   235.52812524,
02/02/18,00:00,     0.00000000,   242.38368762,
02/02/18,01:00,     0.00000000,   121.19184381,
02/02/18,02:00,     0.00000000,    60.59592191,
02/02/18,03:00,     0.29000000,    30.29796095,
02/02/18,04:00,     1.02000000,    15.14898048,
02/02/18,05:00,     3.21000000,     7.57449024,
02/02/18,06:00,     0.00000000,     3.78724512,
02/02/18,07:00,     0.00000000,     1.89362256,
02/02/18,08:00,     0.58000000,     0.94681128,
