TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  196,    36.34645696,632607.44065687,   210.06562151,     0.00001013,
  197,    18.17322848,632705.57605431,   210.06747873,     0.00001013,
  198,     9.08661424,632401.84373457,   210.06173058,   196.00001012,
  199,     4.54330712,631720.77755668,   210.04884136,   196.00001010,
  200,    20.58665356,631060.41144960,   210.03634390,   196.00001007,
  201,    28.60832678,630443.36237781,   210.02466621,   196.00001005,
  202,    14.30416339,629815.00482399,   210.01277450,   196.00001003,
  203,     7.15208170,629500.82602914,   210.00682865,     0.00001001,
  204,     3.57604085,629167.33661354,   210.00051735,   196.00001000,
  205,    23.07302042,628862.50488766,   209.99328522,     0.00000999,
  206,    11.53651021,628924.80200685,   209.99479267,     0.00000999,
  207,     5.76825511,628603.15054863,   209.98700940,   196.00000999,
  208,   166.72912755,628208.04580134,   209.97744872,   196.00000998,
  209,   247.20956378,628247.53540977,   209.97840428,   196.00000998,
  210,   432.97978189,628766.27619622,   209.99095669,   196.00000999,
  211,   234.80489094,629262.68857153,   210.00232189,   196.00001000,
  212,   208.48244547,629355.00574091,   210.00406900,   196.00001001,
  213,   268.08622274,629507.22930749,   210.00694984,   196.00001001,
  214,   443.41811137,630082.33707281,   210.01783378,   196.00001004,
  215,   312.78905568,631090.70993720,   210.03691730,     0.00001007,
  216,   223.21952784,632055.52535111,   210.05517648,     0.00001011,
  217,   111.60976392,632658.21803991,   210.06658248,     0.00001013,
  218,    55.80488196,632959.56436607,   210.07228547,     0.00001014,
  219,    27.90244098,633110.23751069,   210.07513697,     0.00001015,
  220,    13.95122049,633185.57406498,   210.07656272,     0.00001015,
  221,     6.97561025,633223.24232389,   210.07727559,     0.00001015,
  222,     3.48780512,633242.07643510,   210.07763203,     0.00001016,
  223,     1.74390256,632898.69347226,   210.07113349,   196.00001014,
  224,     0.87195128,632197.80197259,   210.05786908,   196.00001012,
  225,     0.43597564,631494.55620452,   210.04456011,   196.00001009,
  226,     0.21798782,630755.93330246,   210.03058163,   215.00001006,
  227,     0.10899391,630369.52183319,   210.02326877,     0.00001005,
  228,     0.05449696,630017.01608054,   210.01659758,   196.00001003,
  229,     0.02724848,629664.36318618,   210.00992360,     0.00001002,
  230,     0.01362424,629664.43672119,   210.00992499,     0.00001002,
  231,     0.00681212,629664.47347046,   210.00992569,     0.00001002,
  232,     0.00340606,629664.49182707,   210.00992604,     0.00001002,
  233,     0.00170303,629664.50098735,   210.00992621,     0.00001002,
  234,   152.46085151,629636.53354932,   210.00939693,   168.00001002,
  235,   153.45042576,629582.37381240,   210.00837195,   168.00001002,
  236,   226.71021288,629661.86292578,   210.00987629,   168.00001002,
  237,   263.34010644,629939.15346428,   210.01512402,   168.00001003,
  238,   208.89005322,630184.36771537,   210.01976472,   168.00001004,
  239,   254.43002661,630413.54382297,   210.02410189,   168.00001005,
  240,   204.43501330,630634.70085861,   210.02828730,   168.00001006,
  241,   252.20250665,631154.24835826,   210.03811976,     0.00001008,
  242,   126.10125333,631835.19508988,   210.05100672,     0.00001010,
  243,    63.05062666,632175.66843745,   210.05745020,     0.00001011,
  244,    31.52531333,632345.90509321,   210.06067194,     0.00001012,
  245,    15.76265667,632078.22340285,   210.05560604,   196.00001011,
  246,     7.88132833,631415.18253943,   210.04305796,   196.00001009,
  247,     7.40566417,630737.09908954,   210.03022519,   196.00001006,
  248,    94.78283208,630215.43834649,   210.02035273,   196.00001004,
  249,   138.47141604,629929.69595710,   210.01494504,   196.00001003,
  250,   233.08070802,629892.88974429,   210.01424848,   196.00001003,
  251,   207.62035401,629980.55161978,   210.01590749,   196.00001003,
  252,   194.89017701,629999.47053944,   210.01626553,   196.00001003,
  253,   188.52508850,629984.01798140,   210.01597309,   196.00001003,
  254,   112.57754425,629820.40268432,   210.01287666,   196.00001003,
  255,    74.60377213,629451.72901775,   210.00589949,   196.00001001,
  256,   128.38188606,629111.50316640,   209.99931044,   196.00001000,
  257,   228.03594303,629047.45522262,   209.99776062,   196.00001000,
  258,   205.09797152,629121.49623262,   209.99955225,   196.00001000,
  259,   266.39398576,629264.58171951,   210.00235772,   196.00001000,
  260,   297.04199288,629573.16644503,   210.00819770,   196.00001002,
  261,   166.83599644,629752.94678971,   210.01160005,   168.00001002,
  262,   171.52799822,629706.80194393,   210.01072676,   196.00001002,
  263,   176.84399911,629981.07150313,   210.01591733,     0.00001003,
  264,    91.88699955,630464.78726441,   210.02507167,     0.00001005,
  265,    45.94349978,630712.88212687,   210.02976688,     0.00001006,
  266,    22.97174989,630836.92954007,   210.03211449,     0.00001006,
  267,    11.48587494,630898.95322844,   210.03328829,     0.00001007,
  268,     5.74293747,630929.96505438,   210.03387519,     0.00001007,
  269,     2.87146874,630531.47094933,   210.02633367,   230.00001005,
  270,     3.41573437,629714.78787881,   210.01087789,   230.00001002,
  271,     5.17286718,629013.84732562,   209.99694738,   168.00001000,
  272,     7.04143359,628431.03303114,   209.98284453,   168.00000998,
  273,     7.97571680,627853.26386582,   209.96886376,   168.00000997,
  274,   226.73785840,627670.94826542,   209.96445212,   168.00000996,
  275,   263.35392920,627948.31344701,   209.97116376,   168.00000997,
  276,   427.19196460,628586.49602000,   209.98660640,   168.00000999,
  277,   509.11098230,629667.04128857,   210.00997429,   168.00001002,
  278,   550.07049115,630968.76790481,   210.03460954,   168.00001007,
  279,   570.55024557,632381.08519464,   210.06133772,   168.00001012,
  280,   580.79012279,633848.69782105,   210.08911237,   168.00001018,
  281,   585.91006139,635293.55811596,   210.11645644,   196.00001023,
  282,   529.56503070,636595.81324497,   210.14110169,   196.00001028,
  283,   355.86251535,637483.98279090,   210.15791035,   196.00001032,
  284,   269.01125767,637903.15554514,   210.16584322,   196.00001033,
  285,   225.58562884,638087.82990375,   210.16933819,   196.00001034,
  286,   131.10781442,638024.27806435,   210.16813547,   196.00001034,
  287,    65.55390721,638025.46912609,   210.16815801,     0.00001034,
  288,    32.77695360,638202.46463829,   210.17150766,     0.00001034,
  289,    16.38847680,638290.96237593,   210.17318248,     0.00001035,
  290,     8.19423840,638335.21122609,   210.17401989,     0.00001035,
  291,     4.09711920,638357.33563271,   210.17443860,     0.00001035,
  292,     2.04855960,638368.39781714,   210.17464795,     0.00001035,
  293,     1.02427980,638373.92889090,   210.17475263,     0.00001035,
  294,     0.51213990,638023.89440914,   210.16812821,   196.00001034,
  295,    18.57106995,637352.64414979,   210.15542476,   196.00001031,
  296,    27.60053498,636780.55300165,   210.14459790,   168.00001029,
  297,    18.25526749,636258.29340888,   210.13471411,   168.00001027,
  298,    86.34763374,635841.77859417,   210.12683154,   168.00001025,
  299,   120.39381687,635609.11316825,   210.12242833,   168.00001024,
  300,   210.18190844,635548.94943691,   210.12128973,   196.00001024,
  301,   196.17095422,635574.78455268,   210.12177866,   196.00001024,
  302,    98.08547711,635337.64609219,   210.11729080,   230.00001023,
  303,   216.35273855,635075.63484360,   210.11233223,   230.00001022,
  304,   361.61636928,635287.97920085,   210.11635086,   230.00001023,
  305,   434.24818464,635955.53536102,   210.12898439,   195.00001026,
  306,   453.23909232,636851.01242276,   210.14593135,   195.00001029,
  307,   389.96954616,637666.78793503,   210.16136995,   195.00001032,
  308,   285.56977308,638117.75867239,   210.16990459,   230.00001034,
  309,   177.92988654,638124.05802265,   210.17002381,   230.00001034,
  310,   124.10994327,637839.72967926,   210.16464288,   230.00001033,
  311,   169.96497163,637955.06448880,   210.16682560,     0.00001033,
  312,   297.33748582,638796.20887510,   210.18274430,     0.00001037,
  313,   288.25874291,639850.28204944,   210.20269270,     0.00001041,
  314,   210.95437145,640748.86561778,   210.21969844,     0.00001044,
  315,   105.47718573,641318.44238293,   210.23047771,     0.00001046,
  316,    71.05359286,641636.19774673,   210.23649125,     0.00001047,
  317,    53.84179643,641861.00940974,   210.24074583,     0.00001048,
  318,    45.23589822,641688.34922235,   210.23747822,   195.00001047,
  319,    40.43794911,641140.56210997,   210.22711132,   195.00001045,
  320,    38.03897455,640579.82053487,   210.21649925,   195.00001043,
  321,    36.83948728,640012.60172862,   210.20576461,   195.00001041,
  322,    36.23974364,639442.14430670,   210.19496867,   195.00001039,
  323,   108.70487182,639001.04457702,   210.18662083,   195.00001037,
  324,   217.70243591,638886.57769341,   210.18445454,   195.00001037,
  325,   272.20121795,639066.40423302,   210.18785776,   195.00001038,
  326,   299.45060898,639393.37748403,   210.19404575,   195.00001039,
  327,   240.31030449,639662.94709076,   210.19914737,   195.00001040,
  328,   356.27015224,640034.79187554,   210.20618455,   195.00001041,
  329,   414.25007612,640773.72824914,   210.22016897,   165.00001044,
  330,   355.62503806,641565.50341694,   210.23515336,   165.00001047,
  331,   180.28751903,641882.14598200,   210.24114584,   195.00001048,
  332,   399.02375952,642222.90624568,   210.24759474,   195.00001050,
  333,   435.62687976,643023.27735865,   210.26274181,   195.00001053,
  334,   453.92843988,643868.47689607,   210.27873726,   225.00001056,
  335,   477.92921994,644789.82064554,   210.29617374,   195.00001059,
  336,   329.54979514,645541.28283455,   210.31039521,   195.00001062,
  337,   255.36056626,645892.12144668,   210.31703485,   195.00001063,
  338,   145.50177223,646262.67361786,   210.32404757,     0.00001065,
  339,    73.24867015,646656.42437575,   210.33149933,     0.00001066,
  340,    37.12398243,646855.09511211,   210.33525918,     0.00001067,
  341,    19.06385808,646605.23318674,   210.33053053,   195.00001066,
  342,    10.03611700,645955.61310351,   210.31823643,   195.00001064,
  343,     5.52452899,645281.62222822,   210.30548112,   195.00001061,
  344,     3.27090821,644595.45397690,   210.29249534,   195.00001058,
  345,    19.47105243,643934.38946808,   210.27998466,   195.00001056,
  346,   318.63283868,643840.97643393,   210.27821681,   195.00001056,
  347,   395.45020163,644424.32586859,   210.28925673,   195.00001058,
  348,   506.62502243,645346.06123388,   210.30670063,   195.00001061,
  349,   416.68326612,645955.01611512,   210.31822513,   390.00001064,
  350,   208.36307979,645676.09949964,   210.31294662,   390.00001063,
  351,   291.31356915,645171.51742938,   210.30339738,   390.00001061,
  352,   332.78929348,645241.90254386,   210.30472942,   195.00001061,
  353,   329.76758001,645732.50487807,   210.31401410,   195.00001063,
  354,   401.02206378,646345.92619866,   210.32562313,   195.00001065,
  355,   363.88458073,647020.75812028,   210.33839436,   195.00001068,
  356,   418.08106797,647726.29624966,   210.35174671,   195.00001070,
  357,   445.17949921,648578.16523197,   210.36786838,   195.00001074,
  358,   458.72887415,649503.20026539,   210.38537472,   195.00001077,
  359,   538.26868778,650595.79583819,   210.40605215,   195.00001081,
  360,   505.27351550,652123.17176521,   210.43495783,     0.00001087,
  361,   392.25053266,653738.71501272,   210.46553208,     0.00001093,
  362,   335.73829282,655049.09485925,   210.49033109,     0.00001098,
  363,   307.48093893,656206.88943667,   210.51224242,     0.00001102,
  364,   293.35044728,657288.38589215,   210.53270980,     0.00001107,
  365,   286.28302373,657980.72610006,   210.54581238,   195.00001109,
  366,   233.74202442,658214.77114667,   210.55024169,   195.00001110,
  367,   134.70426963,658229.97443608,   210.55052942,   165.00001110,
  368,    70.33324229,657951.04191746,   210.54525060,   195.00001109,
  369,    35.17579291,657438.95814075,   210.53555939,   195.00001107,
  370,   100.75537195,656981.63419780,   210.52690451,   195.00001105,
  371,   213.73370644,656845.71449923,   210.52433222,   195.00001105,
  372,   342.98674605,657145.81127390,   210.53001157,   195.00001106,
  373,   407.61244119,657794.88977126,   210.54229542,   195.00001108,
  374,   367.15960323,658487.47941131,   210.55540271,   195.00001111,
  375,   274.16760559,658939.86834716,   210.56396420,   195.00001113,
  376,   300.43612840,659272.15502811,   210.57025274,   195.00001114,
  377,   386.33496416,659806.34295455,   210.58036228,   195.00001116,
  378,   356.51904024,660441.48012209,   210.59238229,   195.00001118,
  379,   196.08080322,660734.15980006,   210.59792127,   195.00001120,
  380,   115.86145594,660593.65582605,   210.59526222,   195.00001119,
  381,    75.75159469,660236.55927697,   210.58850415,   195.00001118,
