TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  400,   324.88849284,724156.05747123,   211.79818428,   460.00001360,
  401,   390.96549642,724616.59460273,   211.80689997,     0.00001361,
  402,   341.08699821,725934.28904395,   211.83183742,     0.00001366,
  403,   242.72124910,726985.14383979,   211.85172490,     0.00001370,
  404,   266.96487455,727569.57881293,   211.86278537,   185.00001373,
  405,   298.06768728,727920.63737478,   211.86942917,   185.00001374,
  406,   240.19259364,728223.50583096,   211.87516097,   185.00001375,
  407,   211.25504682,728370.11153436,   211.87793549,   185.00001376,
  408,   196.78627341,728438.58586116,   211.87923138,   185.00001376,
  409,   189.55188670,728467.99449987,   211.87978794,   185.00001376,
  410,   185.93469335,728810.87029433,   211.88627688,     0.00001377,
  411,    93.46734668,729313.79391692,   211.89579474,     0.00001379,
  412,    47.23367334,729567.05570314,   211.90058773,     0.00001380,
  413,    24.11683667,729695.48657158,   211.90301829,     0.00001381,
  414,    12.55841833,729761.50198090,   211.90426764,     0.00001381,
  415,     6.77920917,729796.30966089,   211.90492638,     0.00001381,
  416,     3.88960458,729482.51347578,   211.89898776,   185.00001380,
  417,    19.67705229,728858.93340852,   211.88718648,   185.00001377,
  418,   174.42377615,728461.31485030,   211.87966152,   230.00001376,
  419,   274.27463807,728521.97194630,   211.88080946,   185.00001376,
  420,   228.29606904,728760.59916970,   211.88532550,   185.00001377,
  421,   205.30678452,728875.08425671,   211.88749213,   185.00001377,
  422,   193.81214226,728927.49827538,   211.88848407,   185.00001378,
  423,   188.06482113,728948.87675968,   211.88888866,   185.00001378,
  424,   258.61766056,729086.90517707,   211.89150085,   185.00001378,
  425,   293.89408028,729334.42626095,   211.89618521,   230.00001379,
  426,   260.58329014,729288.48547807,   211.89531577,   350.00001379,
  427,   450.72089507,729308.83296199,   211.89570085,   350.00001379,
  428,   398.93669754,729578.21657920,   211.90079895,   350.00001380,
