TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  253,   193.41424370,633082.29414834,   210.07460814,   196.00001015,
  254,   116.70712185,632934.91256985,   210.07181894,   196.00001014,
  255,    78.35356092,632580.42176236,   210.06511018,   196.00001013,
  256,   132.67678046,632254.67634038,   210.05894543,   196.00001012,
  257,   233.33839023,632207.90361137,   210.05806025,   196.00001012,
  258,   210.16919512,632300.61722840,   210.05981486,   196.00001012,
  259,   272.08459756,632463.07401890,   210.06288936,   196.00001013,
  260,   303.04229878,632792.70239591,   210.06912760,   196.00001014,
  261,   171.52114939,632991.71656617,   210.07289395,   168.00001015,
  262,   176.26057469,632962.52363285,   210.07234148,   196.00001014,
  263,   181.63028735,633253.92714795,   210.07785630,     0.00001016,
  264,    95.81514367,633753.32888726,   210.08730751,     0.00001017,
  265,    48.40757184,634012.92973847,   210.09222047,     0.00001018,
  266,    24.70378592,634144.53014583,   210.09471102,     0.00001019,
  267,    12.85189296,634212.13033127,   210.09599035,     0.00001019,
  268,     6.92594648,634247.73040575,   210.09666409,     0.00001019,
  269,     3.96297324,633853.33042454,   210.08920005,   230.00001018,
  270,     5.48148662,633042.33041552,   210.07385182,   230.00001015,
  271,     7.74074331,632349.73039297,   210.06074433,   168.00001012,
  272,     9.87037165,631776.63036345,   210.04989838,   168.00001010,
  273,    10.93518583,631209.28033046,   210.03916125,   168.00001008,
  274,   231.96759291,631041.70529593,   210.03598988,   168.00001007,
  275,   268.98379646,631338.61776065,   210.04160897,   168.00001008,
  276,   434.49189823,632000.07397470,   210.05412706,   168.00001011,
  277,   517.24594911,633108.40206342,   210.07510223,   168.00001015,
  278,   558.62297456,634440.16608953,   210.10030594,   168.00001020,
  279,   579.31148728,635883.64808392,   210.12762392,   168.00001026,
  280,   589.65574364,637382.98906245,   210.15599904,   168.00001031,
  281,   594.82787182,638859.85953326,   210.18394889,   196.00001037,
  282,   537.91393591,640193.19474978,   210.20918234,   196.00001042,
  283,   362.45696795,641108.26233916,   210.22650004,   196.00001045,
  284,   274.72848398,641549.59611497,   210.23485231,   196.00001047,
  285,   230.86424199,641754.06298399,   210.23872186,   196.00001048,
  286,   135.43212099,641707.79639983,   210.23784626,   196.00001048,
  287,    68.21606050,641721.56308865,   210.23810680,     0.00001048,
  288,    34.60803025,641906.64641418,   210.24160951,     0.00001048,
  289,    17.80401512,642000.98805828,   210.24339493,     0.00001049,
  290,     9.40200756,642049.95886145,   210.24432170,     0.00001049,
  291,     5.20100378,642076.24424415,   210.24481916,     0.00001049,
  292,     3.10050189,642091.18691640,   210.24510195,     0.00001049,
  293,     2.05025095,642100.45823364,   210.24527741,     0.00001049,
  294,     1.52512547,641754.09387360,   210.23872244,   196.00001048,
  295,    20.76256274,641088.61167469,   210.22612815,   196.00001045,
  296,    30.38128137,640525.47055635,   210.21547068,   168.00001043,
  297,    21.19064068,640013.49997847,   210.20578160,   168.00001041,
  298,    90.09532034,639609.01467078,   210.19812670,   168.00001040,
  299,   124.54766017,639390.57199848,   210.19399266,   168.00001039,
  300,   215.27383009,639347.05064366,   210.19316901,   196.00001039,
  301,   201.13691504,639390.98994758,   210.19400057,   196.00001039,
  302,   101.06845752,639168.15958087,   210.18978349,   230.00001038,
  303,   221.03422876,638919.94437864,   210.18508600,   230.00001037,
  304,   368.01711438,639152.23675907,   210.18948215,   230.00001038,
  305,   441.50855719,639844.38293040,   210.20258105,   195.00001041,
  306,   460.75427860,640766.45599740,   210.22003134,   195.00001044,
  307,   396.87713930,641608.19251201,   210.23596125,   195.00001047,
